Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Fauna in Australia (Generated 2022-10-09 16:01:48)
Lerista vittata,"Mount Cooper Striped Skink, Mount Cooper Striped Lerista",Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Lewinia pectoralis clelandi,"Western Australian Lewin's Rail, Lewin's Rail (western)",Extinct,Extinct,,WA,Animalia,Chordata,Aves,Gruiformes,Rallidae,
Liasis olivaceus barroni,Olive Python (Pilbara subspecies),Vulnerable,Endemic,,WA,Animalia,Chordata,Reptilia,Squamata,Boidae,
Lichenostomus melanops cassidix,"Helmeted Honeyeater, Yellow-tufted Honeyeater (Helmeted)",Critically Endangered,Endemic,,VIC,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,
Liopholis pulchra longicauda,"Jurien Bay Skink, Jurien Bay Rock-skink",Vulnerable,Present,,WA,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Liopholis slateri slateri,"Slater's Skink, Floodplain Skink",Endangered,Endemic,,NT,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Litoria dayi,"Australian Lace-lid, Lace-eyed Tree Frog, Day's Big-eyed Treefrog",Vulnerable,Endemic,,QLD,Animalia,Chordata,Amphibia,Anura,Hylidae,
Litoria kroombitensis,Kroombit Treefrog,Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Hylidae,
Litoria littlejohni,"Littlejohn's Tree Frog,  Heath Frog",Endangered,Present,,NSW,Animalia,Chordata,Amphibia,Anura,Hylidae,
Litoria lorica,Armoured Mistfrog,Critically Endangered,Endemic,,QLD,Animalia,Chordata,Amphibia,Anura,Hylidae,
Litoria myola,Kuranda Tree Frog,Critically Endangered,Present,,QLD,Animalia,Chordata,Amphibia,Anura,Hylidae,
Litoria nyakalensis,"Mountain Mistfrog, Nyakala Frog",Critically Endangered,Endemic,,QLD,Animalia,Chordata,Amphibia,Anura,Hylidae,
Litoria piperata,Peppered Tree Frog,Vulnerable,Endemic,,NSW,Animalia,Chordata,Amphibia,Anura,Hylidae,
Lucasium occultum,"Yellow-snouted Gecko, Yellow-snouted Ground Gecko",Endangered,Endemic,,NT,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,
Maccullochella ikei,"Clarence River Cod, Eastern Freshwater Cod",Endangered,Endemic,,NSW,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,
Maccullochella macquariensis,Trout Cod,Endangered,Extinct,,SA,Animalia,Chordata,Actinopterygii,Perciformes,Percichthyidae,
